variable,problema,valor,frecuencia
ESTABLECIMIENTO,espacios multiples internos,"CENTRO DE ESTUDIOS DE INGENIERIA Y ARQUITECTURA  ""REMBRANDT""",2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  J. HARVARD,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PARTICULAR MIXTO  RAFAEL AREVALO MARTINEZ,2
ESTABLECIMIENTO,espacios multiples internos,"ESCUELA PARTICULAR MIXTA  ""LICENCIADO DAVID VELA""",2
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO PRIVADO  MIXTO ""BETHEZDA""",2
ESTABLECIMIENTO,espacios multiples internos,CENTRO  DE  COMPUTACIÓN  CEI-PC  VILLAS,2
ESTABLECIMIENTO,espacios multiples internos,LICEO  TÉCNICO  INTERAMERICANO,2
ESTABLECIMIENTO,espacios multiples internos,CENTRO  EDUCATIVO  HOSANNA,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO  TECNOLÓGICO  DOCTOR  THEO  BLOEM,2
ESTABLECIMIENTO,espacios multiples internos,"CENTRO  EDUCATIVO  ""FE  Y  ARMONÍA""",2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO MIXTO  MIGUEL DE CERVANTES,2
ESTABLECIMIENTO,espacios multiples internos,ISEA  ROOSEVELT,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  VIRTUAL  E-LEARNING  FOR  LIFE,2
ESTABLECIMIENTO,espacios multiples internos,"LICEO  TECNOLÓGICO  DE GUATEMALA  ""ELOHIM""",2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO TECNOLOGICO  SANARATECO,2
ESTABLECIMIENTO,espacios multiples internos,CENTRO EDUCATIVO  DR. MARIANO GALVEZ,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO CRISTIANO  JESUS DE NAZARETH,2
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO  JESUS REY DE GLORIA, S.A.",2
ESTABLECIMIENTO,espacios multiples internos,CENTRO EDUCATIVO PROFESIONAL  INTEGRAL  (CEPROIN),2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  INTELIGENCIAS  MULTIPLES,2
ESTABLECIMIENTO,espacios multiples internos,CENTRO DE COMPUTACIÓN CEI-PC LINDA  VISTA,2
ESTABLECIMIENTO,espacios multiples internos,CENTRO EDUCATIVO PERSONALIZADO  NEZEEL,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO MIXTO  COTZUMALGUAPA,2
ESTABLECIMIENTO,espacios multiples internos,"""COLEGIO MIXTO  COTZUMALGUAPA""",2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA  SAN ANTONIO,2
ESTABLECIMIENTO,espacios multiples internos,LICEO CRISTIANO PREUNIVERSITARIO  BETEL,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PROFESIONAL DE TURISMO  GUATEMALAM,2
ESTABLECIMIENTO,espacios multiples internos,LICEO  RAFAEL ALVAREZ OVALLE,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO MIXTO  MONTE HOREB,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PRIVADO MIXTO  BELÉN,2
ESTABLECIMIENTO,espacios multiples internos,"INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA, METROPOLITANO DEL SUR NO.2",2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO DE CIENCIAS COMERCIALES  EL PROGRESO,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO BILINGUE DE COMPUTACION  C. B. C.,2
ESTABLECIMIENTO,espacios multiples internos,LICEO CRISTIANO  LA SABIDURIA,2
ESTABLECIMIENTO,espacios multiples internos,LICEO MIXTO EN COMPUTACION  ROTTERDAM,2
ESTABLECIMIENTO,espacios multiples internos,CENTRO EDUCATIVO  LOS SAUCES,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PRIVADO MIXTO  BELEN,2
ESTABLECIMIENTO,espacios multiples internos,LICEO  GUATEMALTECO DE COMPUTACION,2
ESTABLECIMIENTO,espacios multiples internos,LICEO MIXTO EN COMPUTACION  GUATEMALTECO SAN CARLOS,2
ESTABLECIMIENTO,espacios multiples internos,ANEXA A  COLEGIO TECNICO EN COMPUTACION,2
ESTABLECIMIENTO,espacios multiples internos,LICEO  CRISTIANO  VERDAD L.C.V.,2
ESTABLECIMIENTO,espacios multiples internos,LICEO  MIXTO  OBED,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO MIXTO EN COMPUTACION  IMANOL,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  VALVERDE NO.2,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO DE BACHILLERATO POR MADUREZ  CIENCIA Y DESARROLLO,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  VALVERDE,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PRIVADO ZACAPA  FREDY EDGARDO LUNA ROSSEL,2
ESTABLECIMIENTO,espacios multiples internos,LICEO  GALILEO GALILEI,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  LICEO INTEGRAL CIENTIFICO EN COMPUTACION,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PRIVADO MIXTO  LICEO MAZATECO,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO TECNOLOGICO MUNICIPAL AJPU  ITMA,2
ESTABLECIMIENTO,espacios multiples internos,LICEO PRIVADO POCHUTECO  CAMINO AL FUTURO,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  LICEO TECNICO DE ESTUDIOS AVANZADOS,2
ESTABLECIMIENTO,espacios multiples internos,INED  INSTITUTO NACIONAL  EDUCACION DIVERSIFICADA,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO  AKALTIC,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  MIXTO VALLE DEL POLOCHIC,1
ESTABLECIMIENTO,espacios multiples internos,CENTRO EDUCATIVO PRIVADO  TALITA KUMI,1
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO PRIVADO URBANO MIXTO  ""SOLOLÁ""",1
ESTABLECIMIENTO,espacios multiples internos,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA MARÍA CHINCHILLA RECINOS,1
ESTABLECIMIENTO,espacios multiples internos,ESCUELA PRIVADA DE EDUCACION FISICA  EMMA GRACIELA OCHOA DE ESTRADA,1
ESTABLECIMIENTO,espacios multiples internos,LICEO PARTICULAR MIXTO  JIREH  (POR MADUREZ),1
