ESTABLECIMIENTO,Frecuencia,Porcentaje
"COLEGIO PARTICULAR MIXTO ""EL EXITO""",2,0.07
COLEGIO PARTICULAR MIXTO EL ÉXITO,2,0.07
"COLEGIO PARTICULAR MIXTO TINTECO ""MARÍA TERESA""",2,0.07
COLEGIO MIXTO PRIVADO BILINGUE SAN JUAN,2,0.07
"INSTITUTO MIXTO DE MAGISTERIO BILINGÜE ""SAN ANTONIO DE PADUA""",2,0.07
EOPA,2,0.07
COLEGIO PARTICULAR MIXTO TEZULUTLÁN,2,0.07
CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX DEPARTAMENTAL,2,0.07
INED  INSTITUTO NACIONAL  EDUCACION DIVERSIFICADA,2,0.07
COLEGIO CRISTIANO NAZARENO,2,0.07
COLEGIO PARTICULAR MIXTO  CIENCIA Y DESARROLLO,2,0.07
COLEGIO CRISTIANO  MONTE ELIM,2,0.07
CENTRO EDUCATIVO MAYA 'AJAAW TUKUR',2,0.07
EPRM,2,0.07
EDAC,2,0.07
CENTRO DE FORMACIÓN Y TECNOLOGÍA S.J. ANTONIO GÓMEZ,2,0.07
CENTRO EDUCATIVO ESTUDIANTIL CON ORIENTACIÓN EN COMPUTACIÓN,2,0.07
"INSTITUTO PRIVADO MIXTO ""SAN LAZARO""",2,0.07
COLEGIO INTEGRAL 'NUEVA GENERACION' (POR MADUREZ),2,0.07
EODP ANEXA  A EORM,2,0.07
"COLEGIO PARTICULAR MIXTO ""NUEVO AMANECER""",2,0.07
INSTITUTO PADRE GERARDO LEMUS,2,0.07
CEIN (PAIN),2,0.07
COLEGIO CRISTIANO  NUEVA VISION,2,0.07
EODP ANEXA A  ESCUELA OFICIAL RURAL MIXTA,2,0.07
CENTRO DE ESTUDIOS MAGISTERIALES CEM,2,0.07
CENTRO DE ESTUDIOS MAGISTERIALES 'CEM',2,0.07
COLEGIO MIXTO LUNA SOL,2,0.07
COLEGIO PARTICULAR MIXTO SAN JERÓNIMO,2,0.07
EOUM NO.1,2,0.07
EOUM NO.2,2,0.07
"""INSTITUTO MIXTO PARTICULAR VERAPAZ""",2,0.07
COLEGIO PARTICULAR MIXTO PURULHA PROFA. MARIA ZOE LOPEZ,2,0.07
COLEGIO CRISTIANO PARTICULAR MIXTO VIDA NUEVA,2,0.07
COPB ANEXO A ESCUELA OFICIAL RURAL MIXTA,2,0.07
EOUM JOSE MARIA BONILLA RUANO,2,0.07
INSTITUTO MIXTO NOCTURNO  FRANCISCO MARROQUIN,1,0.04
COLEGIO  COBAN,1,0.04
COLEGIO PARTICULAR MIXTO  VERAPAZ,1,0.04
