DIRECCION,Frecuencia,Porcentaje
2A. AVENIDA 9-75 ZONA 1,3,0.03
"9A. AVENIDA 4-55, ZONA 4",3,0.03
3A. AVE. 7-34,3,0.03
8A. CALLE 0-62,3,0.03
11 CALLE 9-62,3,0.03
20 CALLE 3-30,3,0.03
2A. AV. 15-25,3,0.03
"SECTOR 3, MANZANA J, LOTES 4 AL 6 ZONA 0, VILLAS DEL MILAGRO",3,0.03
10 AV. 11-27,3,0.03
"3A. AVENIDA 8-28, ZONA 10",3,0.03
4A. CALLE 2-43 ZONA 1,3,0.03
5A CALLE 5-61,3,0.03
"3A. CALLE 14-95 ZONA 3, COLONIA NUEVA MONTSERRAT",3,0.03
"ALDEA MONTUFAR, SECTOR CENTRO, LOTE 137 ZONA 0",3,0.03
5A. CALLE 5-14,3,0.03
"00 AVENIDA B, 19-10, ASENTAMIENTO LA ARENERA",3,0.03
8 CALLE 2-29,3,0.03
"1A. AVENIDA 8-46 ZONA 3, BÁRCENAS",3,0.03
10 AV. 10-72,3,0.03
CALZADA SAN JUAN 31-47 ZONA 7,3,0.03
"PARCELAS MUNICIPALES, EL ASTILLERO",3,0.03
3ERA. CALLE 7-54 ZONA 3,3,0.03
3A. CALLE 0-43 ZONA 3 BARRIO SAN SEBASTIAN,3,0.03
"2A. CALLE 4-45 ZONA 4, BARRIO SAN FELIPE",3,0.03
"4A. CALLE A 2-17, ENCLAVADO ZONA 2, COLONIA PANÁ",3,0.03
5A CALLE 9-28,3,0.03
10 AVENIDA 11-46,3,0.03
"5A. CALLE 4-18 ZONA 1, BARRIO SANTA ANA",3,0.03
11 CALLE 2-54,3,0.03
"CALZADA JUSTO RUFINO BARRIOS, 13-35",3,0.03
4A. AVENIDA 6-40 ZONA 1,3,0.03
10ª.  CALLE 1-47,3,0.03
"SECTOR LOS TRES REYES, LOTE 5""E"" ZONA 7 ALDEA EL PAJÓN",3,0.03
"35 AVENIDA 25-02, COLONIA LAS MARGARITAS ZONA 7",3,0.03
"LOTIFICACION NUEVO SAN MARTIN, BARRIO SAN GASPAR",3,0.03
BARRIO EL CENTRO ALDEA EL RANCHO,3,0.03
"6A. AVENIDA 4-26 ZONA 3, BARRIO LA JOYA",3,0.03
CARRETERA A TIQUISATE LOTE 2 KILÓMETRO 143,3,0.03
"LOTIFICACIÓN NUEVO SAN MARTÍN, BARRIO SAN GASPAR",3,0.03
15 AVENIDA 12-93,3,0.03
9A. CALLE 0-44,3,0.03
5A. AVENIDA 3-79,3,0.03
8A. AVENIDA 3-50,3,0.03
"35 AVENIDA, 0-45, COLONIA TOLEDO",3,0.03
4TA. AVE. 6-30 COLONIA VASQUEZ,3,0.03
3A. AVENIDA 14-56,3,0.03
"BARRIO LA ESCUELA, ALDEA TELEMAN",3,0.03
"COLONIA EL CERRITO, BARRIO EL GUITE, ZONA 4",3,0.03
4A. AVENIDA 3-64,3,0.03
3A. AVENIDA 13-49,3,0.03
6 AVENIDA 13-86 ZONA 1,3,0.03
"1A. CALLE C 20-32, COLONIA LAS VICTORIAS",3,0.03
MANZANA 3B LOTE 1 Y 2 VILLAS DEL QUETZAL,3,0.03
"CALLE PRINCIPAL, LOTE 4 KILOMETRO 19.9, EL FISCAL",3,0.03
1A. CALLE 4-30 ZONA 3,3,0.03
BARRIO LA VEGA,3,0.03
8A. CALLE 4-47 ZONA 4,3,0.03
ALDEA CAMPUR,3,0.03
"5A CALLE ""A"" 6-74 ZONA 1",3,0.03
CALZADA JUSTO RUFINO BARRIOS 6-63,3,0.03
DIAGONAL 2 10-73 ZONA 2 BARRIO SAN PABLO,3,0.03
CALZADA ROOSEVELT 2-34,3,0.03
0 CALLE 4-01 ZONA 4,3,0.03
0 AVENIDA 4-78 ZONA 1,3,0.03
ALDEA CHANMAGUA,3,0.03
13 AVENIDA 4-60,3,0.03
10A. AVE 4-81 ZONA 3 DE BÁRCENA ALDEA,3,0.03
1A. AVENIDA 4-15 ZONA 1,3,0.03
15 CALLE 'A' 12-37,3,0.03
SECTOR 2 NO.99 SAN JULIAN,3,0.03
27 CALLE 17-33,3,0.03
