DIRECCION,Frecuencia,Porcentaje
"11 AVENIDA 14-31, OAKLAND",2,0.02
CABECERA MUNICIPAL ZONA 1,2,0.02
"35 AVENIDA ""A"" 23-31 RESIDENCIALES SAN RAFAEL BUENA VISTA",2,0.02
COLONIA LA FELICIDAD,2,0.02
KM. 52.5 ATRAS COLONIA QUINTAS LAS VICTORIAS,2,0.02
9A CALLE 2-65,2,0.02
"ALDEA GRANADOS, SECTOR I",2,0.02
COLONIA MORAN,2,0.02
CASERÍO LA FLECHA,2,0.02
ALDEA SIBANA,2,0.02
2A. AV. 9-68,2,0.02
3A. AV. 10-29,2,0.02
KM. 192.5 COLONIA SANTA ELENA,2,0.02
"COLONIA EL ABRIGO, CALLE PRINCIPAL",2,0.02
PLAZUELA BELEN,2,0.02
5A. AVENIDA 8-80 ZONA 3 BARRIO PEÑATE,2,0.02
FINCA LA PRIMAVERA SALIDA A SANTA MARIA DE JESUS KM.2,2,0.02
2A. AVENIDA SUR NO. 46,2,0.02
2A. CALLE 4-09 ZONA 1,2,0.02
"2A. AVENIDA 9-75, ZONA 1",2,0.02
6A. CALLE 1-60 ZONA 3,2,0.02
CALLE ANCHA DE LOS HERREROS NO. 16,2,0.02
ALDEA SAN PEDRO LAS HUERTAS,2,0.02
CALLE DE BELEN NO. 18,2,0.02
LOTIFICACION EL COROZAL NO. 6-7 ALDEA SANTA ANA,2,0.02
CALLE AL PORTAL NO. 01 BARRIO SAN ANTONIO,2,0.02
BOULEVARD PRINCIPAL ALDEA SACOJ GRANDE 72-70 ZONA 6,2,0.02
CALLE DE LA AZOTEA NO. 23,2,0.02
BARRIO SAN LUQUITAS NO. 29,2,0.02
CALLE DEL PORTAL LOTE 11,2,0.02
6TA. AVENIDA NORTE NO. 80,2,0.02
12 AVENIDA 13-25,2,0.02
KILOMETRO 1.5 CARRETERA A CIUDAD VIEJA,2,0.02
8A AVENIDA 9-42 ZONA 1,2,0.02
3A. AVENIDA 10-29,2,0.02
CALLE REAL DE SAN FELIPE DE JESUS NO. 7 A,2,0.02
CALLE ANCHA DE LOS HERREROS NO. 88,2,0.02
ALDEA SAN GASPAR VIVAR NO.1,2,0.02
8A.  AVENIDA 9-42 ZONA 1 MIXCO,2,0.02
"CANTON PUENTE DE PALO, LOTE 34 EL CHUPADERO",2,0.02
CALLE REAL DE SAN BARTOLOME BECERRA,2,0.02
CALLE ANCHA DE LOS HERREROS NO. 99,2,0.02
CALLE ANCHA DE LOS HERREROS CALLEJON EL COPANTE NO. 133,2,0.02
CALLE REAL DE JOCOTENANGO NO. 12,2,0.02
8A. AVENIDA 9-42 ZONA 1 MIXCO,2,0.02
2A. AVENIDA 10-43,2,0.02
"4A. AVENIDA ENTRE ZONA 6 Y 7, COLONIA LOS LLANOS",2,0.02
1A. AVENIDA Y 1A. CALLE ZONA 3,2,0.02
8A. CALLE 2-00 COLONIA LOS LLANOS,2,0.02
6AV. 7-07 ZONA 1,2,0.02
CALLE REAL NO. 1-43 ZONA 5,2,0.02
LOTE 192 MANZANA 1 COLONIA MAYA,2,0.02
1A. AVENIDA 6-60 ZONA 4,2,0.02
2A. CALLE 6-12 ZONA 3,2,0.02
2A. CALLE 2-32 ZONA 5,2,0.02
2A. CALLE 2-89 ZONA 1,2,0.02
6A. AVENIDA 3-05 ZONA 4,2,0.02
6 CALLE 2-29 ZONA 3,2,0.02
6TA AVENIDA 2-52 ZONA 1,2,0.02
29 CALLE SECTOR 3 COLONIA CAROLINGIA ZONA 6,2,0.02
6A. CALLE 1-33 ZONA 2,2,0.02
SANTIAGO SACATEPEQUEZ,2,0.02
5TA. CALLE 0-42 ZONA 1,2,0.02
"FINCA EL CERRO, 2DA AVENIDA FINAL ZONA 1",2,0.02
5A. CALLE 0-42 ZONA 1,2,0.02
2A. CALLE 2-120 ZONA 1,2,0.02
3ERA. AVENIDA 3-33,2,0.02
2A. AVENIDA 3-00 ZONA 1,2,0.02
1A. AVENIDA 6A. CALLE 1-80 ZONA 1,2,0.02
8A. AV. 2A. CALLE 'B' LOTE #83 BARRIO SAN LORENZO,2,0.02
3A CALLE Y 2A AVE. ESQUINA,2,0.02
"1ERA. CALLE 5-31, SECTOR A-6 CIUDAD SAN CRISTÓBAL ZONA 8",2,0.02
15AV. 2-63,2,0.02
"KILOMETRO 31.5 LOTE 23 ZONA 0, ALDEA LA LIBERTAD",2,0.02
4A. CALLE 2-55 ZONA 2,2,0.02
PRIMER CANTON 1-232,2,0.02
19 AVENIDA 2-78 COLONIA EL MIRADOR 1 ZONA 11,2,0.02
5TA. CALLE 1-97 ZONA 10 COLONIA LOMAS DE SAN JACINTO,2,0.02
5TA AVENIDA FINAL 1-19 ZONA 1,2,0.02
1ERA. AV. 7-12,2,0.02
3A. CALLE 1-22 ZONA 3,2,0.02
6TA. CALLE 4-90 ZONA 1,2,0.02
5TA. AVENIDA 1-95 ZONA 1,2,0.02
"CALLE REAL, BARRIO LA CUESTESITA, ALDEA SAN MIGUEL MORAZÁN",2,0.02
5A. AVENIDA 1-95 ZONA 1,2,0.02
6A. CALLE 4-90 ZONA 1,2,0.02
4A. CALLE 3-61 ZONA 1,2,0.02
6TA. CALLE 2-22 ZONA 6,2,0.02
"22 CALLE, 7-81",2,0.02
CANTÓN CENTRAL,2,0.02
2DO. CANTON,2,0.02
2A. AVENIDA A 1-13 ZONA 2,2,0.02
10A. AVENIDA 8-27 ZONA 3,2,0.02
10A. CALLE 1-42 ZONA 1,2,0.02
8 AV. 4-21 ZONA 2,2,0.02
ALDEA LAS LAGUNAS,2,0.02
"35 AVENIDA 0-45, PLAZA HELVETIA",2,0.02
4A. CALLE 3-19 COLONIA MONTE VERDE ZONA 4 MIXCO,2,0.02
LOTIFICACION NUEVO SAN MARTIN,2,0.02
RESIDENCIALES LOS OLIVOS,2,0.02
2DA. AVENIDA 1-60 ZONA 1,2,0.02
12 AVENIDA 3-33 ZONA 4 CANTON SANTO DOMINGO,2,0.02
CASERÍO LA ESTANCIA,2,0.02
"5A. CALLE FINAL 15-575 ZONA 5 SAN MARCOS, SAN MARCOS",2,0.02
15AV. 1-177 ZONA 5,2,0.02
6TA. CALLE 15-153 ZONA 4,2,0.02
5TA CALLE 14-42 ZONA 5,2,0.02
3A. AVENIDA 5-97 ZONA 3,2,0.02
8A. AVENIDA 9-00 ZONA 1,2,0.02
4A. AVENIDA 5-55 ZONA 1,2,0.02
10 AVENIDA  9-71 ZONA 3,2,0.02
15 AVENIDA 1-72 COLONIA VALLE DEL SOL ZONA 4,2,0.02
4TA. CALLE 2-12 ZONA 2,2,0.02
MANZANA 5 LOTE 579 COLONIA MAYA,2,0.02
"35A. AVENIDA 0-45, PLAZA HELVETIA",2,0.02
"7A. AVENIDA 7-30 SECTOR CHUWI CRUZ, ZONA 2",2,0.02
0 AVENIDA 6-96 ZONA 1,2,0.02
"5TA. CALLE (CALLE LA REFORMA) 7-28, ZONA 2 SAN PEDRO SACATEPÉQUEZ",2,0.02
ALDEA CHAMPOLLAP,2,0.02
2DA. AV. 5-08 ZONA 4 SAN PEDRO SACATEPEQUEZ,2,0.02
5A. CALLE 3-28 ZONA 1,2,0.02
3RA AVENIDA NORTE 0-47 ZONA 1,2,0.02
"39A. CALLE 10-91, LAS CHARCAS",2,0.02
ALDEA EL TRIUNFO,2,0.02
CASERIO TUICAMPANA,2,0.02
CONCEPCION TUTUAPA,2,0.02
3A. AVENIDA ZONA 2 BARRIO LA AURORA,2,0.02
7A. AVENIDA 4-38,2,0.02
3ERA CALLE 48-59 COLONIA MOLINO DE LAS FLORES ZONA 2,2,0.02
"CANTON TOJCHOC GRANDE, ALDEA EL ROSARIO",2,0.02
ALDEA SANAJABA,2,0.02
"TERCER CALLEJÓN SECTOR PACHAJ, BARRIO SAN ANTONIO ZONA 4",2,0.02
"CANTÓN LA ESPERANZA, ALDEA TUICOCHE",2,0.02
1RA. AVENIDA ZONA 1,2,0.02
CANTON TOHAMAN,2,0.02
1A. CALLE 1-04 ZONA 2,2,0.02
"MANZANA 05, LOTE 579 COLONIA MAYA",2,0.02
3AV. 1-59 ZONA 1,2,0.02
AVENIDA SIMEON CAÑAS,2,0.02
12 AVENIDA 6-03 ZONA 1,2,0.02
CANTON SAN ANDRES,2,0.02
ALDEA CHUCHUCA ALTO,2,0.02
"1A. CALLE 1-90 ""A"" ZONA 6",2,0.02
"12 CALLE 03-93 ALDEA LO DE COY, ZONA 1",2,0.02
11 CALLE 6-03 ZONA 1,2,0.02
3A. CALLE 1-49 ZONA 1,2,0.02
CALZADA 15 DE SEPTIEMBRE,2,0.02
4A. CALLE ZONA 4,2,0.02
ALDEA LA INDUSTRIA,2,0.02
3A AVENIDA 5-103,2,0.02
COLONIA EL MAESTRO MALACATÁN,2,0.02
7A. AVE. 7-38,2,0.02
"14 AVENIDA 0-81, URBANIZACIÓN GONZÁLEZ ZONA 2",2,0.02
5TA. AVENIDA 7-30 COLONIA LA FLORIDA,2,0.02
1A. CALLE 3-67 ZONA 2,2,0.02
5A. AVENIDA 6-185 ZONA 2 CANTÓN MORAZÁN,2,0.02
2DA. AVENIDA 1-42 ZONA 1,2,0.02
CALZADA ROOSEVELT 35-83,2,0.02
4A. CALLE 3-01 ZONA 1,2,0.02
2A AVE. 4-21 ZONA 11,2,0.02
COLONIA LA LADRILLERA,2,0.02
COLONIA EL POTRERITO,2,0.02
ALDEA SAN ANTONIO NEJAPA,2,0.02
2A.CALLE 6-50 ZONA 1,2,0.02
5TA CALLE 6-36 ZONA 2,2,0.02
5A. AV. 6-185 ZONA 2,2,0.02
CANTON TERCERO,2,0.02
"FINAL DE LA 9A. CALLE, ZONA 1",2,0.02
9 CALLE 3184 ZONA 1,2,0.02
9 CALLE 3-184 ZONA 1,2,0.02
ALDEA ZANJON SAN LORENZO,2,0.02
2A. AVENIDA Y 3A. CALLE ZONA 1 CIUDAD TECUN UMAN,2,0.02
"5TA. AVENIDA 01-010 ZONA 1, CIUDAD TECUN UMAN",2,0.02
5A. CALLE ENTRE 5A. Y 6A. AVENIDA ZONA 1,2,0.02
ALDEA ZANJÓN SAN LORENZO,2,0.02
ALDEA MONTE DE LOS OLIVOS,2,0.02
PRIMER CANTON,2,0.02
ALDEA LIMONES,2,0.02
3A. CALLE 5-24,2,0.02
ALDEA LOS YUCALES,2,0.02
LOTE NO. 4 COLONIA BENDICION DE DIOS,2,0.02
ALDEA TOCACHE,2,0.02
CASERÍO NUEVA BUENA VISTA,2,0.02
COLONIA SAN CARLOS,2,0.02
LOTIFICACIÓN LAS GEMELAS 2 CALLE ESQUINA,2,0.02
IXCHIGUAN,2,0.02
ALDEA CHOANLA,2,0.02
CANTÓN SAN PEDRO Y SAN PABLO,2,0.02
5A. AVENIDA 7-22 ZONA 2,2,0.02
SIPACAPA,2,0.02
1RA. AVENIDA Y 2DA. CALLE ZONA 1,2,0.02
"CANTON BETHANIA, ZONA 5",2,0.02
ALDEA OJO DE AGUA,2,0.02
CANTÓN BETHANIA,2,0.02
ALDEA HIERBA BUENA,2,0.02
CANTON SAN PEDRO Y SAN PABLO,2,0.02
5A AVENIDA 3-60 ZONA 1,2,0.02
"LOTIFICACION BELLA VISTA, BARRIO EL CALVARIO",2,0.02
"1A. CALLE 2-40 ZONA 1, CANTÓN LA UNIÓN",2,0.02
AVE. SIMEON CAYAS 6-11,2,0.02
"5A. CALLE, 3-73, BARRIO LA CRUZ",2,0.02
LOTIFICACION LAS FUENTES CIUDAD QUETZAL,2,0.02
ALDEA SAN JUAN DE ARANA,2,0.02
"RESIDENCIALES SAN ÁNGEL, BARRIO EL CAMPAMENTO",2,0.02
"LOTE 10, COLONIA LAS ESTRELLAS",2,0.02
11 AV. 1-42,2,0.02
"LOTE 30, SECTOR EL CAMPO ALDEA FRAY BARTOLOMÉ DE LAS CASAS",2,0.02
2DA. CALLE 2-71 ZONA 1,2,0.02
ALDEA UTZUMAZATE A LA PAR DEL OBISPADO DE LA DIÓCESIS DE SANTA ROSA DE LIMA,2,0.02
ALDEA LAGUNA DE PEREIRA,2,0.02
"CALZADA SAN JUAN 06-53 COLONIA LA FLORIDA ZONA 19 GUATEMALA, GUATEMALA",2,0.02
4A.  CALLE  4-39  C  ZONA 1,2,0.02
5TA. AVENIDA Y 1RA. CALLE,2,0.02
LOTE 25 MANZANA J RESIDENCIALES EL QUETZAL,2,0.02
ALDEA CASAS VIEJAS,2,0.02
ALDEA LA CANDELARIA,2,0.02
10AV. 1-41,2,0.02
KILOMETRO 61.5 CARRETERA INTERAMERICANA ALDEA EL CUNTIC,2,0.02
ALDEA JUMAYTEPEQUE,2,0.02
AVE. TEOFILO SOLARES  0-50 ZONA 2,2,0.02
"8A. CALLE 29-03, EL AGUACATE, ZONA 9",2,0.02
10A. AVENIDA 0-25 COLONIA LA FLORIDA,2,0.02
CASERIO EL CHILTEPE ALDEA CHAPAS,2,0.02
AVENIDA CENTRAL 2-41 ZONA 2,2,0.02
4A CALLE 4-59 ZONA 1,2,0.02
"CASERÍO COXOM, ALDEA SAN JUAN ARGUETA",2,0.02
"CASERÍO CENTRAL, CANTÓN EL TABLÓN",2,0.02
"KM. 137, CASERÍO XOLBÉ ALDEA EL TABLÓN",2,0.02
"3RA. CALLE 1-30 ZONA 1, BARRIO SAN ANTONIO",2,0.02
"6 AVENIDA 13-60 ZONA 1, BARRIO EL CARMEN",2,0.02
"6TA. AVENIDA 6-37 ZONA 2, BARRIO EL CALVARIO",2,0.02
"FINCA ENON, ALDEA SANTO DOMINGO",2,0.02
"BARRIO ""EL ROSARIO""",2,0.02
2DA. CALLE 1-12 ZONA 1,2,0.02
6A. AVENIDA 0-79 COLONIA LA FLORIDA,2,0.02
CASERÍO CHUANAHUALÁ,2,0.02
ALDEA GUINEALES,2,0.02
CASERIO PASAQUIJUYUP,2,0.02
ALDEA LA CEIBA,2,0.02
ANTIGUA SANTA CATARINA IXTAHUACAN,2,0.02
BARRIO TZANJUYU,2,0.02
BARRIO TZANJUYÚ,2,0.02
0 CALLE 0-22 ZONA 1,2,0.02
CALLE DE LOS ARBOLES,2,0.02
0 AVENIDA 3-03 ZONA 4,2,0.02
CALLE PRINCIPAL ZONA 1,2,0.02
13 AV. 1-63 COLONIA LA FLORIDA,2,0.02
"4TA. CALLE 3-68, ZONA 2",2,0.02
1A. CALLE 0-45 ZONA 1,2,0.02
10A. AVENIDA 3-71 ZONA 1,2,0.02
3A. CALLE 8-41 ZONA 1,2,0.02
"1A. CALLE LOTE 10 COLONIA EL BILBAO, ZONA 1",2,0.02
6TA. AVE. 1-57 COLONIA LA FLORIDA,2,0.02
20 AVE. 6-20 COLONIA MORSE,2,0.02
COMUNIDAD DE CHUKMUK,2,0.02
CANTON SANTA CRISTINA ZONA 2,2,0.02
"KM. 19.5   CARRETERA  ROOSEVELT  7-55,  LO  DE COY  ZONA 1",2,0.02
SALIDA A GUATEMALA KM. 150.5,2,0.02
4A. CALLE A 13-25 ZONA 1,2,0.02
16 AVENIDA 12-37,2,0.02
2DA. CALLE 4-40 ZONA 1,2,0.02
1RA. CALLE 5-61 ZONA 2,2,0.02
28 CALLE 0-52,2,0.02
"12 CALLE 4-45, ZONA 1",2,0.02
AV. ELENA 23-20,2,0.02
PARCELAMIENTO LA MAQUINA,2,0.02
CALZADA CENTENARIO 1-14 ZONA 2,2,0.02
3RA. CALLE 8-41 ZONA 1,2,0.02
5A. AVENIDA FINAL NORTE 0-258 ZONA 1,2,0.02
"FINCA NATIVIDAD NO. 102 BIFURCACIÓN AGRICOLA PANTIAGUATE, CARRETERA A SANTA MARÍA DE JESÚS, SACATEPÉQUEZ",2,0.02
14 CALLE  C  4-40,2,0.02
8VA. AVENIDA 6-60 ZONA 1,2,0.02
KM. 1.2 CARRETERA A SAN FRANCISCO ZAPOTITLAN,2,0.02
"1A. CALLE 1-14 ZONA 2,  LOTIFICACION EL ROBLE",2,0.02
1A. CALLE 1-33 ZONA 1,2,0.02
"4A. AVENIDA 2-78, BARRIO SAN JUAN",2,0.02
"2A. CALLE 2-10, ZONA 3",2,0.02
3A. CALLE NO. 214 ZONA 2 BARRIO LA UNION,2,0.02
4A. AVE. 31-49,2,0.02
LOTE 12 MANZANA 'D' SECTOR 1 COLONIA VILLAFLOR ZONA 6,2,0.02
11 CALLE 0-97 ZONA 3,2,0.02
"5TA. AVENIDA FINAL, AVENIDA DOLORES, ZONA 1",2,0.02
21 CALLE 0-53,2,0.02
ALDEA EL PALMAR,2,0.02
AV. BOLIVAR 38-70,2,0.02
16 CALLE 9-18 COLONIA SAN IGNACIO ZONA 7,2,0.02
1A. AVENIDA SUR FINAL 12-01 ZONA 1,2,0.02
LOTE 3 MANZANA M COLONIA LINDA VISTA 1 CIUDAD QUETZAL,2,0.02
"5A. AVENIDA 21-77, ZONA 12, LA REFORMITA",2,0.02
7MA. CALLE 0-54 ZONA 1,2,0.02
"21A.  AVENIDA. 33-58, COLONIA SANTA ELISA ZONA 12",2,0.02
BARRIO SAN PEDRITO,2,0.02
ALDEA LOS ENCUENTROS,2,0.02
11 CALLE 1-060 ZONA 1,2,0.02
27 CALLE 23-14,2,0.02
2A. AVENIDA 1-37 ZONA 2 COLONIA ACEITUNO,2,0.02
10 CALLE 5-92 ZONA 1,2,0.02
"3A. AVENIDA Y 1A. CALLE FINAL ZONA 3, LOTIFICACION RAMIREZ",2,0.02
KM 87.5 CARRETERA CA-2 AL PACIFICO.,2,0.02
6A. AVENIDA NORTE ENTRE 4A. Y 5A. CALLE ZONA 1,2,0.02
30 CALLE 22-38,2,0.02
"CENTRO UNO, PARCELAMIENTO LA MAQUINA",2,0.02
"SECTOR 1 1-16, ALDEA EL PARAISO",2,0.02
CENTRO UNO SAN JOSE LA MAQUINA,2,0.02
ALDEA GUARERUCHE,2,0.02
2A AVENIDA 6-47 ZONA 4 COLONIA MONTSERRAT I,2,0.02
"4A. AVENIDA 1-86 COLONIA BELEN, ZONA 7",2,0.02
"10A. CALLE A 4-17 ZONA 21, RESIDENCIALES EUREKA",2,0.02
PARCELAMIENTO MONTERREY,2,0.02
ENTRADA CANTON TARACENA,2,0.02
8 CALLE 16-30 ZONA 12 GUATEMALA,2,0.02
16 CALLE 9-18 ZONA 7 COLONIA SAN IGNACIO MIXCO,2,0.02
"KM. 98.8 CARRETERA A INGENIO LOS TARROS, FINCA LOS TARROS",2,0.02
2DA. CALLE PROLONGACION,2,0.02
COLONIA SANTA FE,2,0.02
7MA. CALLE ENTRE 2DA. Y 3RA. AVENIDA ZONA 1,2,0.02
"6TA.  AVENIDA  ""A""  6-17,  ZONA 9  DE  MIXCO, COLONIA  SATÉLITE",2,0.02
"MANZANA O, CASA # 6, PRADOS DE SAN CRISTÓBAL, ZONA 8",2,0.02
1A. AVENIDA 1A. CALLE 1-01 ZONA 1,2,0.02
"2DA. AVENIDA, COLONIA LA BLANQUITA",2,0.02
1A. CALLE 1A. AVENIDA 0-04,2,0.02
BOULEVARD LIBERACION 13-19,2,0.02
KM.39.5 CARRETERA AL PACIFICO,2,0.02
"KM. 165, CINTA ASFALTICA",2,0.02
8A. CALLE 1-15 ZONA 1 COLONIA QUIRIO CATAÑO II,2,0.02
3A. CALLE 2-13 ZONA 2 BARRIO NUEVO,2,0.02
8VA. CALLE 1-15 ZONA 1 COLONIA QUIRIO CATAÑO II,2,0.02
"COLONIA EL RECUERDO, LOTE NO. 15",2,0.02
3A. AVENIDA 02-042 ZONA 0,2,0.02
"5TA. CALLE ""A"" 6-74 ZONA 1",2,0.02
6A. CALLE 4-93 ZONA 1 BARRIO PUEBLO NUEVO,2,0.02
"CANTON LA PAZ, RANCHO LOS OLIVOS, CARRETERA A COCALES",2,0.02
"CALLE VALENTIN BRESSANI, ENTRADA  CAMINO A CANADA",2,0.02
"6A. CALLE 4-93 ZONA 1, BARRIO PUEBLO NUEVO",2,0.02
"LOTE 18 MANZANA 1 COLONIA CIUDAD QUETZAL Y LOTES CONTIGUOS 1, 2 Y 3 MANZANA A DE LA COLONIA PORTAL DEL QUETZAL",2,0.02
22 CALLE 36-49 COLONIA ARRIVILLAGA,2,0.02
"CALZADA 15 DE SEPTIEMBRE 5-250, ZONA 1",2,0.02
2A. CALLE A BARRIO LA ALAMEDA,2,0.02
2A. CALLE 4-33 ZONA 1,2,0.02
6A. AVENIDA 6-99 ZONA 1 BARRIO SAN JOAQUÍN,2,0.02
"6A. AVENIDA 0-11 ZONA 1, BARRIO SANTIAGUITO",2,0.02
4TA. AVE. 6TA. CALLE BARRIO LAS FLORES,2,0.02
LOTE 179 Y 180 ENTRE 2DA. Y 3ERA. CALLE COLONIA LAS MARGARITAS,2,0.02
RESIDENCIALES LOS EUCALIPTOS,2,0.02
"3A. AVENIDA 11-42 COLONIA EL ROSARIO, ZONA 3",2,0.02
29 AVE 18-18 ZONA 12 COLOCNIA MILLES ROCK,2,0.02
6A. CALLE 3-47 ZONA 12 CIUDAD REAL II,2,0.02
"3A. CALLE 12-08,  ZONA 2",2,0.02
COMUNIDAD AGRICOLA SAN NICOLAS,2,0.02
"PARAJE XENAJTAJUYUP, CANTÓN CHIYAX",2,0.02
21 CALLE 'A' 38-65 COLONIA ARRIVILLAGA,2,0.02
6A. AVENIDA 0-11 ZONA 1,2,0.02
13 CALLE 6-06 ZONA 1,2,0.02
"RUINAS DEL MOLINO, PARAJE AGUA TIBIA, CANTÓN POXLAJUJ.",2,0.02
"3A. CALLE 12-08, ZONA 2",2,0.02
17 AVENIDA 2-250 ZONA 2,2,0.02
11AV. 9-48 ZONA 3,2,0.02
CALLE LA PEDRERA ALDEA NIMASAC,2,0.02
2A. CALLE PROLONGACION INTERIOR NO. 7 CANTON RINCON DE LA PIEDRA,2,0.02
"COLONIA BETHEL, ALDEA LA ERMITA",2,0.02
2A. CALLE PROLONGACION INTERIOR NO. 7 EL RINCON CANTON RINCON DE LA PIEDRA,2,0.02
"4TA CALLE 3-49 ZONA 1, BARRIO EL SALVADOR",2,0.02
ALDEA EL JÍCARO,2,0.02
"4TA. CALLE 3-49 ZONA 1, BARRIO EL SALVADOR",2,0.02
3A. CALLE 6-81 ZONA 1,2,0.02
1ERA. AVENIDA 4-33 ZONA 1,2,0.02
ALDEA SAN VICENTE BUENABAJ,2,0.02
1A. CALLE 1-41 ZONA 4,2,0.02
BARRIO LAS JOYAS,2,0.02
2DA AVENIDA ZONA 2,2,0.02
12 CALLE A 14-03 ZONA 1,2,0.02
9NO. CALLEJON 1-72 ZONA 1,2,0.02
12 AVENIDA Y 8A. CALLE ESQUINA ZONA 1,2,0.02
ALDEA LOS JOCOTES,2,0.02
8A CALLE 16-30 ZONA 12,2,0.02
8A. CALLE 9-6 BARRIO LA REFORMA ZONA 2,2,0.02
BOSQUES DE  SAN  JULIÁN ZACAPA,2,0.02
9A. CALLE 17-27 ZONA 3 BARRIO EL TAMARINDAL,2,0.02
ALDEA EL TERRERO,2,0.02
3A. CALLE 16-19 ZONA 1,2,0.02
BARRIO LA LAGUNA I,2,0.02
9NO. CALLEJÓN 1-72 ZONA 1,2,0.02
BARRIO EL CALVARIO CASA 8-03 ZONA 1,2,0.02
CAMINO QUE CONDUCE HACIA LA ALDEA LA PAZ,2,0.02
BARRIO SAN JOSE TECULUTÁN,2,0.02
BOULEVARD LIBERACIÓN 13-19,2,0.02
7A. AVENIDA 18-66 ZONA 12,2,0.02
BARRIO EL AMATE,2,0.02
ALDEA CAMPANARIO PROGRESO,2,0.02
CALZADA SAN JUAN 32-37,1,0.01
CALZADA SAN JUAN 32-37 ZONA 7,1,0.01
CALZDA SAN JUAN 39-45 COLONIA EL RODEO,1,0.01
CALZADA SAN JUAN 39-45 COLONIA EL RODEO,1,0.01
CALZADA SAN JUAN 38-83,1,0.01
8A. CALLE 28-96 KAMINAL JUYU I,1,0.01
2DA. CALLE 35-44 COLONIA TOLEDO,1,0.01
25 CALLE 33-89 COLONIA KJELL,1,0.01
4TA. CALLE 12-27 COLONIA QUINTA SAMAYOA,1,0.01
4TA. CALLE 12-27 COLONIA QUINTA SAMAYOA GUATEMALA,1,0.01
"5TA. AVENIDA 5-38 COLONIA LANDÍVAR GUATEMALA, GUATEMALA",1,0.01
4TA. CALLE 8-26 COLONIA QUINTA SAMAYOA GUATEMALA ZONA 7,1,0.01
"CARRIL AUXILIAR ANILLO PERIFERICO 14-12, CIUDAD DE PLATA II",1,0.01
"23 AVENIDA  5-06  ZONA 7 KAMINAL JUYU I GUATEMALA, GUATEMALA",1,0.01
31 AVENIDA 5-30 ZONA 7 JARDINES DE TIKAL I GUATEMALA,1,0.01
"5A.  AVENIDA 15-56, COLONIA CIUDAD DE PLATA",1,0.01
"2A. CALLE 31-36, ZONA 7, CALZADA MATEO FLORES",1,0.01
"7A. AVENIDA 6-32 ZONA 7, COLONIA LANDIVAR",1,0.01
7A. AVENIDA 6-32 COLONIA  LANDIVAR ZONA  7,1,0.01
CALZADA SAN JUAN  39-45 ZONA 7 EL  RODEO,1,0.01
4A.  CALLE  12-27 ZONA 7  COLONIA  QUINTA  SAMAYOA,1,0.01
14 CALLE  31-30 ZONA 7,1,0.01
13  CALLE  3-03  ZONA  7  COLONIA  LANDIVAR,1,0.01
6A.  AVENIDA  11-95  ZONA  7  COLONIA  LANDIVAR,1,0.01
"13  AVENIDA  3-76 ZONA  7,  COLONIA  QUINTA  SAMAYOA",1,0.01
13  AVENIDA   04-03 COLONIA   QUINTA  SAMAYOA  ZONA  7,1,0.01
"2A.  CALLE   32-88  ZONA  7,  COLONIA   TOLEDO, CALZADA DOROTEO GUAMUCH",1,0.01
"AVENIDA  MOCTEZUMA  31-02,  ZONA 7, COLONIA  BETHANIA GUATEMALA",1,0.01
4A. CALLE 8-26 COLONIA  QUINTA  SAMAYOA  ZONA 7,1,0.01
4A. CALLE 8-26 COLONIA  QUINTA  SAMAYOA  ZONA 7 GUATEMALA ZONA 7,1,0.01
4 CALLE  12-27  COLONIA  QUINTA  SAMAYOA  ZONA  7,1,0.01
"13 AVENIDA  04-03 COLONIA QUINTA  SAMAYOA, ZONA 7",1,0.01
13 AVENDA 04-03 COLONIA QUINTA SAMAYOA ZONA 7,1,0.01
CALZADA SAN JUAN  12-73  ZONA 7,1,0.01
13  CALLE  30-70  COLONIA  CIUDAD  DE  PLATA I  ZONA 7 GUATEMALA,1,0.01
"32  AV.  ""D""  45-25,  COLONIA  GRANIZO  II,  ZONA  7",1,0.01
"32  AV.  ""D""  45-25,  LOS GRANIZOS  II,  ZONA  7",1,0.01
6A.  AVENIDA 11-95 ZONA 7  COLONIA  LANDÍVAR,1,0.01
CALZADA 39-45 ZONA 7 COLONIA EL RODEO,1,0.01
"CALZADA SAN JUAN 37-78 ZONA 7, COLONIA EL RODEO",1,0.01
"31 AVENIDA 14-26 ZONA 7, COLONIA CIUDAD DE PLATA II",1,0.01
4TA. 8-26 ZONA 7 COLONIA QUINTA SAMAYOA,1,0.01
"CALZADA SAN JUAN Y 32 AVENIDA 31-97,31-99 Y 4-04 ZONA 7 GUATEMALA",1,0.01
13 AVENIDA 04-03 COLONIA QUINTA SAMAYOA ZONA 7,1,0.01
4A. CALLE 12-27 COLONIA QUINTA SAMAYOA ZONA 7,1,0.01
"31 AVENIDA 5-30 ZONA 7, JARDINES DE TIKAL I GUATEMALA",1,0.01
9A. CALLE 8-63 Y 8-67 ZONA 7 COLONIA QUINTA SAMAYOA,1,0.01
CALZADA SAN JUAN 12-73 ZONA 7 GUATEMALA,1,0.01
37 AVENIDA 3-88 ZONA 7,1,0.01
CALZADA SAN JUAN 38-83 ZONA 7 COLONIA EL RODEO,1,0.01
CALZADA SAN JUAN 38-83 COLONIA EL RODEO ZONA 7,1,0.01
"38 CALLE E 34-25 COLONIA EL AMPARO 1, ZONA 7 GUATEMALA",1,0.01
