CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
15-03-0038-42,15-03-0900,BAJA VERAPAZ,RABINAL,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,4A. AVENIDA ENTRE 3A. Y 4A. CALLE ZONA 2,79388037,FRANCISCO ALVARADO CANAHUI,ARABELA CONSUELO IXPATÁ AJ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0039-43,15-03-0900,BAJA VERAPAZ,RABINAL,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,4A. AVENIDA ENTRE 3A. Y 4A. CALLE ZONA 2,79388037,FRANCISCO ALVARADO CANAHUI,ARABELA CONSUELO IXPATÁ AJ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0040-45,15-03-0900,BAJA VERAPAZ,RABINAL,INEB DE TELESECUNDARIA,ALDEA CHIAC,53894787,FRANCISCO ALVARADO CANAHUI,BASILIO  TAHUICO CAMÓ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0041-45,15-03-0902,BAJA VERAPAZ,RABINAL,INEB DE TELESECUNDARIA,ALDEA GUACHIPILIN,49855868,JULIO ESAIAS MÉNDEZ MEJÍA,LUIS ALBERTO SÁNCHEZ MACARIO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0042-45,15-03-0899,BAJA VERAPAZ,RABINAL,INEB DE TELESECUNDARIA,ALDEA LA CEIBA,58745257,JULIO ESAIAS MÉNDEZ MEJÍA,LEONEL  MANUEL SUCUP,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0043-45,15-03-0901,BAJA VERAPAZ,RABINAL,INEB DE TELESECUNDARIA,ALDEA PACHALUM,59496006,JOSE ASCENCIÓN CORTEZ ISMALEJ,NORMA MARICELA CHEN JERÓNIMO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0044-45,15-03-0899,BAJA VERAPAZ,RABINAL,INEB DE TELESECUNDARIA,ALDEA VEGA DEL VOLCAN,59566091,JULIO ESAIAS MÉNDEZ MEJÍA,SHENY VERÓNICA XOLOP IXPATÁ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0045-45,15-03-0901,BAJA VERAPAZ,RABINAL,INEB,"2A. AVE. Y 3A. CALLE, ESQUINA ZONA 4",42122635,JOSE ASCENCIÓN CORTEZ ISMALEJ,WILSON DUGLAS ALVARADO IXPATÁ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0046-46,15-03-0901,BAJA VERAPAZ,RABINAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,2A. CALLE Y 4A. AVENIDA ZONA 3 FRENTE AL CAMPO DE AVIACIÓN,47050351,JOSE ASCENCIÓN CORTEZ ISMALEJ,ODILIA MIRTALA GÓMEZ JUÁREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0047-42,15-03-0902,BAJA VERAPAZ,RABINAL,EODP,CASERIO EL TABLON ALDEA XEABAJ,46555328,JULIO ESAIAS MÉNDEZ MEJÍA,MERLIN ELIZABETH PÉREZ ROSALES,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0048-43,15-03-0902,BAJA VERAPAZ,RABINAL,EORM,"CASERIO PIEDRA DE CAL, ALDEA SAN RAFAEL",42143179,JULIO ESAIAS MÉNDEZ MEJÍA,NESTER ALEXANDER PEREZ TAHUICO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0049-41,15-03-0899,BAJA VERAPAZ,RABINAL,COPB,ALDEA LA CEIBA,,JULIO ESAIAS MÉNDEZ MEJÍA,NORMA ZENAYDA OSORIO DEPAZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0050-42,15-03-0899,BAJA VERAPAZ,RABINAL,CEIN PAIN,ALDEA XOCOC,42849845,JULIO ESAIAS MÉNDEZ MEJÍA,YASMIN ELISA SESAM ESTRADA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0051-42,15-009,BAJA VERAPAZ,RABINAL,EODP,ALDEA XOCOC,50394854,JULIO ESAIAS MENDEZ MEJIA,ANGELA MARÍA JERÓNIMO GALIEGO,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0053-45,15-031,BAJA VERAPAZ,RABINAL,CENTRO EDUCATIVO ESTUDIANTIL CON ORIENTACION EN COMPUTACION,3A. CALLE 5-41 ZONA 2,,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,FÉLIX  ISMALEJ MORALES,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ
15-03-0054-45,15-03-0902,BAJA VERAPAZ,RABINAL,INEB DE TELESECUNDARIA,"CASERIO QUEBRADA HONDA, ALDEA SAN LUIS",41088164,JULIO ESAIAS MÉNDEZ MEJÍA,ADRIAN ARMENIO GUZMÁN ALVARADO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0055-45,15-03-0902,BAJA VERAPAZ,RABINAL,INEB DE TELESECUNDARIA,ALDEA CHICHUPAC,41088164,JULIO ESAIAS MÉNDEZ MEJÍA,JUAN JOSÉ ESTRADA VALDEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0056-45,15-03-0899,BAJA VERAPAZ,RABINAL,INEB DE TELESECUNDARIA,CASERIO ASENTAMIENTO PACUX,41083263,JULIO ESAIAS MÉNDEZ MEJÍA,FLOR DE MARÍA GONZÁLEZ ESTRADA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0057-42,15-03-0900,BAJA VERAPAZ,RABINAL,EODP ANEXA A EORM,"CASERIO CONCULITO, ALDEA CONCUL",45519516,FRANCISCO ALVARADO CANAHUI,NARDY ISABEL MEJÍA LÓPEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0058-45,15-03-0901,BAJA VERAPAZ,RABINAL,INEB ADSCRITO A ENBI OXLAJUJ NO´OJ,ALDEA PACHALUM,,JOSE ASCENCIÓN CORTEZ ISMALEJ,MAURA LISBETH RAYMUNDO ALVAREZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0059-46,15-03-0900,BAJA VERAPAZ,RABINAL,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,4A. AVENIDA ENTRE 3A. Y 4A. CALLE ZONA 2,79388037,FRANCISCO ALVARADO CANAHUI,ARABELA CONSUELO IXPATÁ AJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0060-46,15-031,BAJA VERAPAZ,RABINAL,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,4A. AVENIDA ENTRE 3A. Y 4A. CALLE ZONA 2,79388037,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,ARABELA CONSUELO IXPATÁ AJ DE CASTRO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ
15-03-0061-45,15-031,BAJA VERAPAZ,RABINAL,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,4A. AVENIDA ENTRE 3A. Y 4A. CALLE ZONA 2,79388037,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,ARABELA CONSUELO IXPATÁ AJ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0062-46,15-006,BAJA VERAPAZ,RABINAL,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,4A. AVENIDA ENTRE 3A. Y 4A. CALLE ZONA 2,79388037,HUGO RAMIRO GONZALEZ CANAHUI,ANA MARIA VICTORIA XITUMUL PIOX,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ
15-03-0063-45,15-03-0900,BAJA VERAPAZ,RABINAL,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,ALDEA CONCUL,46995905,FRANCISCO ALVARADO CANAHUI,ELIECER ARIEL ISMALEJ MORALES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0064-45,15-03-0900,BAJA VERAPAZ,RABINAL,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,ALDEA XESIGUAN,31405827,FRANCISCO ALVARADO CANAHUI,YOHANA MARIBEL JUÁREZ MORALES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0065-43,15-019,BAJA VERAPAZ,RABINAL,EORM,CASERIO LAS ASTRAS,50293806,NATALIA MILIAN ORTIZ,--,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0066-42,15-009,BAJA VERAPAZ,RABINAL,EODP ANEXA A EORM,COLONIA MUNICIPAL LA LADRILLERA,,JULIO ESAIAS MENDEZ MEJIA,REYNA ELIZABETH MENDOZA ALVARADO,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0067-42,15-03-0899,BAJA VERAPAZ,RABINAL,CENTRO DE EDUCACION INTEGRAL -PAIN-,"CASERIO CHUAK UN, ALDEA XOCOC",,JULIO ESAIAS MÉNDEZ MEJÍA,JEYMMY ZULIANA ALVARADO MANUEL,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0068-45,15-03-0899,BAJA VERAPAZ,RABINAL,INEB,ALDEA XOCOC,,JULIO ESAIAS MÉNDEZ MEJÍA,MARIO DAVID DEPAZ ALVARADO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0069-46,15-031,BAJA VERAPAZ,RABINAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA XOCOC,59492292,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,NERY AMILCAR ALVARADO COSIBEL,DIVERSIFICADO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0070-46,15-03-0902,BAJA VERAPAZ,RABINAL,CENTRO EDUCATIVO COMUNITARIO BILINGUE INTERCULTURAL NUEVA ESPERANZA RIO NEGRO,"CASERÍO CORROLABAJ, ALDEA CHITICOY",79388218,JULIO ESAIAS MÉNDEZ MEJÍA,EDGAR ANTONIO CASTRO OSORIO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0071-41,15-03-0902,BAJA VERAPAZ,RABINAL,COPB ANEXO A EORM,"CASERIO EL PALMAR, ALDEA CHIRRUM",46994505,JULIO ESAIAS MÉNDEZ MEJÍA,LIRIA HONORIA JUÁREZ GONZÁLEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0072-42,15-03-0901,BAJA VERAPAZ,RABINAL,EODP ANEXA A EOUN,"2A. AVE. Y 3A. CALLE, ESQUINA ZONA 4",58549149,JOSE ASCENCIÓN CORTEZ ISMALEJ,MARIA ANTONIETA AJXUP RODRIGUEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0073-42,15-03-0901,BAJA VERAPAZ,RABINAL,EODP ANEXA A EOUV,"2A. AVE. Y 3A. CALLE,  ZONA 3 BARRIO SAN SEBASTIAN",54408767,JOSE ASCENCIÓN CORTEZ ISMALEJ,FILOMENA  TORRES MORALES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0074-45,15-03-0901,BAJA VERAPAZ,RABINAL,INEB,5A. AVENIDA 5-71 ZONA 1,54676606,JOSE ASCENCIÓN CORTEZ ISMALEJ,OLGA MARINA SICAL ALVARADO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0075-45,15-03-0902,BAJA VERAPAZ,RABINAL,INEB DE TELESECUNDARIA,ALDEA CHUATEGUÁ PARTE BAJA,48506337,JULIO ESAIAS MÉNDEZ MEJÍA,CARMELA  TECÚ SACOL,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0076-46,15-03-0901,BAJA VERAPAZ,RABINAL,ENBI OXLAJUJ NO´OJ,ALDEA PACHALUM,57325568,JOSE ASCENCIÓN CORTEZ ISMALEJ,MARVIN  DE LA CRUZ TECÚ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0077-46,15-015,BAJA VERAPAZ,RABINAL,"CENTRO DE ESTUDIOS MAGISTERIALES ""CEM""",ALDEA POTRERO GRANDE,31701255,FLORA MILIAN MILIAN DE GARCIA,DARWIN ODILIO CUELLAR RUIZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0078-42,15-009,BAJA VERAPAZ,RABINAL,EODP,COLONIA LA LADRILLERA,30322538,JULIO ESAIAS MENDEZ MEJIA,SONIA NOHEMI ORTÍZ ORTÍZ,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0079-42,15-03-0899,BAJA VERAPAZ,RABINAL,EODP,ALDEA NIMACABAJ,58447922,JULIO ESAIAS MÉNDEZ MEJÍA,INGRID ALEJANDRA PÉREZ MAYÉN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0080-42,15-03-0899,BAJA VERAPAZ,RABINAL,EODP,ALDEA VEGAS DE SANTO DOMINGO CHUAPEROL,49987315,JULIO ESAIAS MÉNDEZ MEJÍA,HILDA  RODRÍGUEZ RAMÍREZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0081-42,15-03-0902,BAJA VERAPAZ,RABINAL,EODP,ALDEA CHITICOY,42011553,JULIO ESAIAS MÉNDEZ MEJÍA,CLAUDIA KARINA LÓPEZ CORLETO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0082-42,15-009,BAJA VERAPAZ,RABINAL,EODP,ALDEA SAN RAFAEL,31586348,JULIO ESAIAS MENDEZ MEJIA,NÉLIDA FRANCISCA HERNÁNDEZ RAXCACÓ,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0083-46,15-031,BAJA VERAPAZ,RABINAL,COLEGIO INTEGRAL NUEVA GENERACIÓN,1A. CALLE 7-17 ZONA 2,79388194,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,ANGEL WILFREDO GARCÍA DE LA ROCA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0084-42,15-03-0902,BAJA VERAPAZ,RABINAL,EODP ANEXA A EORM,"CASERÍO PIEDRA DE CAL, ALDEA SAN RAFAEL",42143179,JULIO ESAIAS MÉNDEZ MEJÍA,GLENDA MARISOL CANAHUÍ XITUMUL,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0085-46,15-03-0900,BAJA VERAPAZ,RABINAL,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA CONCUL,56376500,FRANCISCO ALVARADO CANAHUI,FREDY OTONIEL RAYMUNDO RODRIGUEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0086-45,15-031,BAJA VERAPAZ,RABINAL,INEB DE TELESECUNDARIA,ALDEA RAXJUT,79388307,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,-,BASICO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0087-45,15-03-0901,BAJA VERAPAZ,RABINAL,CENTRO CULTURAL DE AMERICA,3A. CALLE 3-64 ZONA 2,79388718,JOSE ASCENCIÓN CORTEZ ISMALEJ,FABIO  RAXCACO ISMALEJ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0088-46,15-031,BAJA VERAPAZ,RABINAL,COLEGIO PARTICULAR MIXTO VIDA NUEVA,4A. AVENIDA 1-83 ZONA 2,58408911,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,IRRAEL  GONZALEZ GONZALEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ
15-03-0089-46,15-031,BAJA VERAPAZ,RABINAL,CENTRO ESTUDIANTIL CON ORIENTACIÓN EN COMPUTACIÓN,3RA. CALLE 5-41 ZONA 2,79388223,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,FÉLIX  ISMALEJ MORALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ
15-03-0090-45,15-031,BAJA VERAPAZ,RABINAL,CENTRO DE FORMACIÓN Y TECNOLOGÍA S.J. ANTONIO GÓMEZ,ALDEA PACHALUM,55140632,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,LEONEL ANTONIO MOLLINEDO JERÓNIMO,BASICO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0091-46,15-031,BAJA VERAPAZ,RABINAL,CENTRO DE FORMACIÓN Y TECNOLOGÍA S.J. ANTONIO GÓMEZ,ALDEA PACHALUM,55140632,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,LEONEL ANTONIO MOLLINEDO JERÓNIMO,DIVERSIFICADO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0092-46,15-03-0900,BAJA VERAPAZ,RABINAL,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"CASERÍO PLAN DE SANCHEZ, ALDEA RAXJUT",58441519,FRANCISCO ALVARADO CANAHUI,WILSON FRANKYN TOJ PÉREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0093-42,15-03-0901,BAJA VERAPAZ,RABINAL,LICEO TECNOLÓGICO FÉNIX,"4A. AVENIDA 1-83, ZONA 2",54918504,JOSE ASCENCIÓN CORTEZ ISMALEJ,GRINDIS JANETH CARRILLO OLIVA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0094-42,15-03-0901,BAJA VERAPAZ,RABINAL,EODP NO 1,"2A. AVENIDA Y 2A. CALLE, ZONA 3",58675548,JOSE ASCENCIÓN CORTEZ ISMALEJ,NELLY MELINA CALDERÓN SÁNCHEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0095-42,15-03-0901,BAJA VERAPAZ,RABINAL,EODP MUNDO MAGICO,"BARRIO SAN PEDRO APÓSTOL 3A. CALLE 1-77, ZONA 1",79388922,JOSE ASCENCIÓN CORTEZ ISMALEJ,JULIA NINETH SUYÉN PICÓN,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0096-42,15-03-0901,BAJA VERAPAZ,RABINAL,COLEGIO MIXTO ZAMANEB,2A. AV. 1-08 ZONA 1,79388962,JOSE ASCENCIÓN CORTEZ ISMALEJ,KIMBERLY JANETH AJ ZEPEDA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0097-42,,BAJA VERAPAZ,RABINAL,EPDP ANEXA A 'LICEO RABINAL ACHI',,,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0098-44,15-031,BAJA VERAPAZ,RABINAL,EPPA PARROQUIAL 'SAN PABLO',"1A. AVENIDA Y 2A. CALLE, ZONA 4",,JOSÉ ASCENCIÓN CORTEZ ISMALEJ,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0099-43,15-03-0901,BAJA VERAPAZ,RABINAL,EOUN,"2A. AVE. Y 3A. CALLE, ESQUINA ZONA 4 BARRIO SAN PEDRO MÁRTIR",56917250,JOSE ASCENCIÓN CORTEZ ISMALEJ,ANGELA  CORTÉZ SIC,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0100-43,15-03-0901,BAJA VERAPAZ,RABINAL,EOUV,"2A. AVENIDA Y 3A. CALLE, ZONA 3 BARRIO SAN SEBASTIAN",35929019,JOSE ASCENCIÓN CORTEZ ISMALEJ,MARIO RENÉ GALEANO FERNÁNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0101-43,,BAJA VERAPAZ,RABINAL,LICEO MIXTO 'RABINAL ACHI',3A. AV. Y 2A. CALLE 1-53 ZONA 3 RABINAL,,,,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0102-43,15-03-0901,BAJA VERAPAZ,RABINAL,COLEGIO MIXTO ZAMANEB,2 AVENIDA 1-08 ZONA 1,79388962,JOSE ASCENCIÓN CORTEZ ISMALEJ,LETICIA EVERILDA RUÍZ CALO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0103-43,15-03-0900,BAJA VERAPAZ,RABINAL,EOUM REGIONAL,"BARRIO SANTO DOMINGO, FRENTE AL CAMPO DE AVIACIÓN, ZONA 2",57789444,FRANCISCO ALVARADO CANAHUI,PEDRO  LÓPEZ TAPERIA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0104-43,15-03-0900,BAJA VERAPAZ,RABINAL,EORM,ALDEA LAS VENTANAS,54733915,FRANCISCO ALVARADO CANAHUI,EDWIN MIGUEL YOL TÚM,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0105-43,15-03-0900,BAJA VERAPAZ,RABINAL,EORM,CASERIO JOYA DE RAMOS ALDEA LAS VENTANAS,42070907,FRANCISCO ALVARADO CANAHUI,VIRGINIA  CAMÓ RAXCACÓ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0106-43,15-03-0902,BAJA VERAPAZ,RABINAL,EORM,ALDEA SAN LUIS,39471056,JULIO ESAIAS MÉNDEZ MEJÍA,LILA ELVIRA TECÚ XITUMUL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0107-43,15-03-0899,BAJA VERAPAZ,RABINAL,EORM,ALDEA XOCOC,42232839,JULIO ESAIAS MÉNDEZ MEJÍA,JAIME EDUARDO HÉRCULES ESTRADA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0108-43,15-03-0899,BAJA VERAPAZ,RABINAL,EORM,ALDEA VEGAS DE SANTO DOMINGO,58127055,JULIO ESAIAS MÉNDEZ MEJÍA,ABRAHAN  MORALES SIC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0109-43,15-03-0902,BAJA VERAPAZ,RABINAL,EORM,ALDEA CHIXIM,30325295,JULIO ESAIAS MÉNDEZ MEJÍA,WILSON FRANKLIN GONZÁLEZ COLOCH,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-03-0110-43,15-03-0901,BAJA VERAPAZ,RABINAL,EORM,ALDEA PACHALUM,40914636,JOSE ASCENCIÓN CORTEZ ISMALEJ,JORGE RONALDO OLIVA GARCÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
